Profile Output Table - Standard Table 1
HEC-RAS  Plan: Plan 05
                                                                   
# Rivers            = 1 
# Hydraulic Reaches = 3 
# River Stations    = 5 
# Plans             = 1 
# Profiles          = 145 

 Reach            River Sta        Profile            Q Total 
                                                       (m3/s) 
                                                                   
 2                30000            06NOV2025 1100       20.00 
 2                30000            06NOV2025 1110       20.00 
 2                30000            06NOV2025 1120       20.00 
 2                30000            06NOV2025 1130       20.00 
 2                30000            06NOV2025 1140       20.00 
 2                30000            06NOV2025 1150       20.00 
 2                30000            06NOV2025 1200       20.00 
 2                30000            06NOV2025 1210       20.00 
 2                30000            06NOV2025 1220       20.00 
 2                30000            06NOV2025 1230       20.00 
 2                30000            06NOV2025 1240       20.00 
 2                30000            06NOV2025 1250       20.00 
 2                30000            06NOV2025 1300       20.00 
 2                30000            06NOV2025 1310       20.00 
 2                30000            06NOV2025 1320       20.00 
 2                30000            06NOV2025 1330       20.00 
 2                30000            06NOV2025 1340       20.00 
 2                30000            06NOV2025 1350       20.00 
 2                30000            06NOV2025 1400       20.00 
 2                30000            06NOV2025 1410       20.00 
 2                30000            06NOV2025 1420       20.00 
 2                30000            06NOV2025 1430       20.00 
 2                30000            06NOV2025 1440       20.00 
 2                30000            06NOV2025 1450       20.00 
 2                30000            06NOV2025 1500       20.00 
 2                30000            06NOV2025 1510       20.00 
 2                30000            06NOV2025 1520       20.00 
 2                30000            06NOV2025 1530       20.00 
 2                30000            06NOV2025 1540       20.00 
 2                30000            06NOV2025 1550       20.00 
 2                30000            06NOV2025 1600       20.00 
 2                30000            06NOV2025 1610       20.00 
 2                30000            06NOV2025 1620       20.00 
 2                30000            06NOV2025 1630       20.00 
 2                30000            06NOV2025 1640       20.00 
 2                30000            06NOV2025 1650       20.00 
 2                30000            06NOV2025 1700       20.00 
 2                30000            06NOV2025 1710       20.00 
 2                30000            06NOV2025 1720       20.00 
 2                30000            06NOV2025 1730       20.00 
 2                30000            06NOV2025 1740       20.00 
 2                30000            06NOV2025 1750       20.00 
 2                30000            06NOV2025 1800       20.00 
 2                30000            06NOV2025 1810       20.00 
 2                30000            06NOV2025 1820       20.00 
 2                30000            06NOV2025 1830       20.00 
 2                30000            06NOV2025 1840       20.00 
 2                30000            06NOV2025 1850       20.00 
 2                30000            06NOV2025 1900       20.00 
 2                30000            06NOV2025 1910       20.00 
 2                30000            06NOV2025 1920       20.00 
 2                30000            06NOV2025 1930       20.00 
 2                30000            06NOV2025 1940       20.00 
 2                30000            06NOV2025 1950       20.00 
 2                30000            06NOV2025 2000       20.00 
 2                30000            06NOV2025 2010       20.00 
 2                30000            06NOV2025 2020       20.00 
 2                30000            06NOV2025 2030       20.00 
 2                30000            06NOV2025 2040       20.00 
 2                30000            06NOV2025 2050       20.00 
 2                30000            06NOV2025 2100       20.00 
 2                30000            06NOV2025 2110       20.00 
 2                30000            06NOV2025 2120       20.00 
 2                30000            06NOV2025 2130       20.00 
 2                30000            06NOV2025 2140       20.00 
 2                30000            06NOV2025 2150       20.00 
 2                30000            06NOV2025 2200       20.00 
 2                30000            06NOV2025 2210       20.00 
 2                30000            06NOV2025 2220       20.00 
 2                30000            06NOV2025 2230       20.00 
 2                30000            06NOV2025 2240       20.00 
 2                30000            06NOV2025 2250       20.00 
 2                30000            06NOV2025 2300       20.00 
 2                30000            06NOV2025 2310       20.00 
 2                30000            06NOV2025 2320       20.00 
 2                30000            06NOV2025 2330       20.00 
 2                30000            06NOV2025 2340       20.00 
 2                30000            06NOV2025 2350       20.00 
 2                30000            07NOV2025 0000       20.00 
                                                              
 2                20000            06NOV2025 0000       20.00 
 2                20000            06NOV2025 0010       20.00 
 2                20000            06NOV2025 0020       20.00 
 2                20000            06NOV2025 0030       20.00 
 2                20000            06NOV2025 0040       20.00 
 2                20000            06NOV2025 0050       20.00 
 2                20000            06NOV2025 0100       20.00 
 2                20000            06NOV2025 0110       20.00 
 2                20000            06NOV2025 0120       20.00 
 2                20000            06NOV2025 0130       20.00 
 2                20000            06NOV2025 0140       20.00 
 2                20000            06NOV2025 0150       20.00 
 2                20000            06NOV2025 0200       20.00 
 2                20000            06NOV2025 0210       19.98 
 2                20000            06NOV2025 0220       19.77 
 2                20000            06NOV2025 0230       19.62 
 2                20000            06NOV2025 0240       19.63 
 2                20000            06NOV2025 0250       19.70 
 2                20000            06NOV2025 0300       19.80 
 2                20000            06NOV2025 0310       19.98 
 2                20000            06NOV2025 0320       20.57 
 2                20000            06NOV2025 0330       21.08 
 2                20000            06NOV2025 0340       21.32 
 2                20000            06NOV2025 0350       21.45 
 2                20000            06NOV2025 0400       21.51 
 2                20000            06NOV2025 0410       21.50 
 2                20000            06NOV2025 0420       21.23 
 2                20000            06NOV2025 0430       20.99 
 2                20000            06NOV2025 0440       20.88 
 2                20000            06NOV2025 0450       20.79 
 2                20000            06NOV2025 0500       20.72 
 2                20000            06NOV2025 0510       20.66 
 2                20000            06NOV2025 0520       20.60 
 2                20000            06NOV2025 0530       20.56 
 2                20000            06NOV2025 0540       20.52 
 2                20000            06NOV2025 0550       20.48 
 2                20000            06NOV2025 0600       20.45 
 2                20000            06NOV2025 0610       20.42 
 2                20000            06NOV2025 0620       20.40 
 2                20000            06NOV2025 0630       20.37 
 2                20000            06NOV2025 0640       20.35 
 2                20000            06NOV2025 0650       20.33 
 2                20000            06NOV2025 0700       20.32 
 2                20000            06NOV2025 0710       20.30 
 2                20000            06NOV2025 0720       20.28 
 2                20000            06NOV2025 0730       20.27 
 2                20000            06NOV2025 0740       20.26 
 2                20000            06NOV2025 0750       20.25 
 2                20000            06NOV2025 0800       20.24 
 2                20000            06NOV2025 0810       20.23 
 2                20000            06NOV2025 0820       20.22 
 2                20000            06NOV2025 0830       20.21 
 2                20000            06NOV2025 0840       20.20 
 2                20000            06NOV2025 0850       20.20 
 2                20000            06NOV2025 0900       20.19 
 2                20000            06NOV2025 0910       20.19 
 2                20000            06NOV2025 0920       20.18 
 2                20000            06NOV2025 0930       20.18 
 2                20000            06NOV2025 0940       20.17 
 2                20000            06NOV2025 0950       20.17 
 2                20000            06NOV2025 1000       20.16 
 2                20000            06NOV2025 1010       20.16 
 2                20000            06NOV2025 1020       20.15 
 2                20000            06NOV2025 1030       20.15 
 2                20000            06NOV2025 1040       20.15 
 2                20000            06NOV2025 1050       20.14 
 2                20000            06NOV2025 1100       20.14 
